Host,Virus,HostTaxID,VirusTaxID,HostNCBIResolved,VirusNCBIResolved,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,HostSynonyms,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusOriginal,HostFlagID,VirusFlagContaminant,DetectionMethod,DetectionOriginal,Database,DatabaseVersion,PublicationYear,ReferenceText,PMID,NCBIAccession,ReleaseYear,ReleaseMonth,ReleaseDay,CollectionYear,CollectionMonth,CollectionDay
abrornis inornata,avian leukosis virus,NA,NA,NA,TRUE,abrornis,phylloscopidae,passeriformes,aves,NA,NA,alpharetrovirus,retroviridae,ortervirales,revtraviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,JX570798,2012,11,12,2011,5,NA
abrornis inornata,gallid alphaherpesvirus 2,NA,NA,NA,TRUE,abrornis,phylloscopidae,passeriformes,aves,NA,NA,mardivirus,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KU382455,2016,7,10,2014,4,NA
abrornis inornata,picornavirales sp.,NA,NA,NA,TRUE,abrornis,phylloscopidae,passeriformes,aves,NA,NA,NA,NA,picornavirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MT138149,2020,6,15,2018,NA,NA
abrornis inornata,picornaviridae sp.,NA,NA,NA,TRUE,abrornis,phylloscopidae,passeriformes,aves,NA,NA,NA,picornaviridae,picornavirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MT138158,2020,6,3,2018,NA,NA
abrornis inornata,riboviria sp.,NA,NA,NA,TRUE,abrornis,phylloscopidae,passeriformes,aves,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN933891,2020,5,6,2018,NA,NA
abrornis inornata,totiviridae sp.,NA,NA,NA,TRUE,abrornis,phylloscopidae,passeriformes,aves,NA,NA,NA,totiviridae,ghabrivirales,chrymotiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN933872,2020,5,6,2018,NA,NA
abrornis proregulus,dependoparvovirus sp.,NA,NA,NA,TRUE,abrornis,phylloscopidae,passeriformes,aves,NA,NA,dependoparvovirus,parvoviridae,piccovirales,quintoviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MT138277,2020,6,15,2018,NA,NA
abrornis proregulus,picornavirales sp.,NA,NA,NA,TRUE,abrornis,phylloscopidae,passeriformes,aves,NA,NA,NA,NA,picornavirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN918672,2020,5,6,2018,NA,NA
abrornis proregulus,picornaviridae sp.,NA,NA,NA,TRUE,abrornis,phylloscopidae,passeriformes,aves,NA,NA,NA,picornaviridae,picornavirales,pisoniviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MT138358,2020,6,3,2018,NA,NA
abrornis proregulus,riboviria sp.,NA,NA,NA,TRUE,abrornis,phylloscopidae,passeriformes,aves,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN933883,2020,5,6,2018,NA,NA
abrornis proregulus,tick-borne encephalitis virus,NA,NA,NA,TRUE,abrornis,phylloscopidae,passeriformes,aves,NA,NA,flavivirus,flaviviridae,amarillovirales,flasuviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KC602124,2013,5,25,2010,7,NA
abrornis proregulus,totiviridae sp.,NA,NA,NA,TRUE,abrornis,phylloscopidae,passeriformes,aves,NA,NA,NA,totiviridae,ghabrivirales,chrymotiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MN933868,2020,5,6,2018,NA,NA
abrornis proregulus,weivirus-like virus sp.,NA,NA,NA,TRUE,abrornis,phylloscopidae,passeriformes,aves,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MT138416,2020,5,6,2018,NA,NA
abrothrix longipilis,andes orthohantavirus,NA,NA,NA,TRUE,abrothrix,cricetidae,rodentia,mammalia,NA,NA,orthohantavirus,hantaviridae,bunyavirales,ellioviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,EU241684,2009,3,4,NA,NA,NA
acanthis flammea,parvoviridae sp.,NA,NA,NA,TRUE,acanthis,fringillidae,passeriformes,aves,NA,NA,NA,parvoviridae,piccovirales,quintoviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MT138295,2020,7,22,2018,NA,NA
acanthophis antarcticus,death adder adenovirus,NA,NA,NA,TRUE,acanthophis,elapidae,squamata,reptilia,NA,NA,atadenovirus,adenoviridae,rowavirales,tectiliviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,JN418933,2011,10,31,2011,7,NA
acanthorhynchus tenuirostris,passerine adenovirus 1,NA,NA,NA,TRUE,acanthorhynchus,meliphagidae,passeriformes,aves,NA,NA,atadenovirus,adenoviridae,rowavirales,tectiliviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,MT674683,2020,10,14,NA,NA,NA
accipiter cooperii,columbid alphaherpesvirus 1,NA,NA,NA,TRUE,accipiter,accipitridae,accipitriformes,aves,NA,NA,mardivirus,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,EF623994,2007,6,23,NA,NA,NA
accipiter cooperii,influenza a virus,NA,NA,NA,TRUE,accipiter,accipitridae,accipitriformes,aves,NA,NA,alphainfluenzavirus,orthomyxoviridae,articulavirales,insthoviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KU201925,2015,12,22,2015,4,14
accipiter cooperii,west nile virus,NA,NA,NA,TRUE,accipiter,accipitridae,accipitriformes,aves,NA,NA,flavivirus,flaviviridae,amarillovirales,flasuviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,AF206520,1999,12,28,NA,NA,NA
accipiter fasciatus,beak and feather disease virus,NA,NA,NA,TRUE,accipiter,accipitridae,accipitriformes,aves,NA,NA,circovirus,circoviridae,cirlivirales,arfiviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KY410356,2017,5,21,2015,9,7
accipiter gentilis,avipoxvirus isolate hungary,NA,NA,NA,TRUE,accipiter,accipitridae,accipitriformes,aves,NA,NA,avipoxvirus,poxviridae,chitovirales,pokkesviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,KC017860,2013,2,20,2003,7,30
accipiter gentilis,columbid alphaherpesvirus 1,NA,NA,NA,TRUE,accipiter,accipitridae,accipitriformes,aves,NA,NA,mardivirus,herpesviridae,herpesvirales,herviviricetes,NA,FALSE,FALSE,PCR/Sequencing,GenBank,GenBank,Jan2021FlatFile,NA,NA,NA,JX892995,2012,12,22,2012,NA,NA
