Host,Virus,HostTaxID,VirusTaxID,HostNCBIResolved,VirusNCBIResolved,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,HostSynonyms,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusOriginal,HostFlagID,DetectionMethod,DetectionOriginal,Database,DatabaseVersion,PublicationYear,ReferenceText,PMID,NCBIAccession,ReleaseYear,ReleaseMonth,ReleaseDay,CollectionYear,CollectionMonth,CollectionDay
NA,coronavirus predict cov-24,9399,2042551,TRUE,TRUE,cynopterus,pteropodidae,chiroptera,mammalia,Cynopterus sp.,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-24,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285729,2021,3,9,2011,11,1
NA,coronavirus predict cov-24,9399,2042551,TRUE,TRUE,cynopterus,pteropodidae,chiroptera,mammalia,Cynopterus sp.,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-24,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285730,2021,3,9,2011,11,1
NA,coronavirus predict cov-24,9399,2042551,TRUE,TRUE,cynopterus,pteropodidae,chiroptera,mammalia,Cynopterus sp.,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-24,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285783,2021,3,9,2010,12,1
NA,coronavirus predict cov-24,9406,2042551,TRUE,TRUE,rousettus,pteropodidae,chiroptera,mammalia,Rousettus sp.,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-24,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285784,2021,3,9,2010,12,1
cynopterus brachyotis,coronavirus predict cov-24,58060,2042551,TRUE,TRUE,cynopterus,pteropodidae,chiroptera,mammalia,Cynopterus brachyotis,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-24,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285731,2021,3,9,2011,9,1
cynopterus brachyotis,coronavirus predict cov-24,58060,2042551,TRUE,TRUE,cynopterus,pteropodidae,chiroptera,mammalia,Cynopterus brachyotis,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-24,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285732,2021,3,9,2011,9,1
cynopterus brachyotis,coronavirus predict cov-24,58060,2042551,TRUE,TRUE,cynopterus,pteropodidae,chiroptera,mammalia,Cynopterus brachyotis,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-24,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285733,2021,3,9,2011,9,1
cynopterus brachyotis,coronavirus predict cov-24,58060,2042551,TRUE,TRUE,cynopterus,pteropodidae,chiroptera,mammalia,Cynopterus brachyotis,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-24,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285734,2021,3,9,2011,9,1
cynopterus brachyotis,coronavirus predict cov-24,58060,2042551,TRUE,TRUE,cynopterus,pteropodidae,chiroptera,mammalia,Cynopterus brachyotis,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-24,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285735,2021,3,9,2011,9,1
cynopterus brachyotis,coronavirus predict cov-24,58060,2042551,TRUE,TRUE,cynopterus,pteropodidae,chiroptera,mammalia,Cynopterus brachyotis,NA,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-24,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,NA,NA,NA,KX285736,2021,3,9,2011,9,1
