HostOriginal,Accession,HostFlagID,VirusOriginal,CollectionYear,CollectionMonth,CollectionDay,ReleaseYear,ReleaseMonth,ReleaseDay,Database,DatabaseVersion,DetectionMethod,Virus,VirusGenus,VirusFamily,VirusOrder,VirusNCBIResolved,VirusTaxID,VirusClass,HostTaxID,HostNCBIResolved,Host,HostGenus,HostFamily,HostOrder,HostClass
Cynopterus sp.,KX285729,FALSE,PREDICT_CoV-24,2011,11,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Coronavirus PREDICT CoV-24,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,2042551,Pisoniviricetes,9399,TRUE,NA,Cynopterus,Pteropodidae,Chiroptera,Mammalia
Cynopterus sp.,KX285730,FALSE,PREDICT_CoV-24,2011,11,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Coronavirus PREDICT CoV-24,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,2042551,Pisoniviricetes,9399,TRUE,NA,Cynopterus,Pteropodidae,Chiroptera,Mammalia
Cynopterus sp.,KX285783,FALSE,PREDICT_CoV-24,2010,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Coronavirus PREDICT CoV-24,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,2042551,Pisoniviricetes,9399,TRUE,NA,Cynopterus,Pteropodidae,Chiroptera,Mammalia
Rousettus sp.,KX285784,FALSE,PREDICT_CoV-24,2010,12,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Coronavirus PREDICT CoV-24,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,2042551,Pisoniviricetes,9406,TRUE,NA,Rousettus,Pteropodidae,Chiroptera,Mammalia
Cynopterus brachyotis,KX285731,FALSE,PREDICT_CoV-24,2011,9,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Coronavirus PREDICT CoV-24,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,2042551,Pisoniviricetes,58060,TRUE,Cynopterus brachyotis,Cynopterus,Pteropodidae,Chiroptera,Mammalia
Cynopterus brachyotis,KX285732,FALSE,PREDICT_CoV-24,2011,9,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Coronavirus PREDICT CoV-24,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,2042551,Pisoniviricetes,58060,TRUE,Cynopterus brachyotis,Cynopterus,Pteropodidae,Chiroptera,Mammalia
Cynopterus brachyotis,KX285733,FALSE,PREDICT_CoV-24,2011,9,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Coronavirus PREDICT CoV-24,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,2042551,Pisoniviricetes,58060,TRUE,Cynopterus brachyotis,Cynopterus,Pteropodidae,Chiroptera,Mammalia
Cynopterus brachyotis,KX285734,FALSE,PREDICT_CoV-24,2011,9,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Coronavirus PREDICT CoV-24,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,2042551,Pisoniviricetes,58060,TRUE,Cynopterus brachyotis,Cynopterus,Pteropodidae,Chiroptera,Mammalia
Cynopterus brachyotis,KX285735,FALSE,PREDICT_CoV-24,2011,9,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Coronavirus PREDICT CoV-24,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,2042551,Pisoniviricetes,58060,TRUE,Cynopterus brachyotis,Cynopterus,Pteropodidae,Chiroptera,Mammalia
Cynopterus brachyotis,KX285736,FALSE,PREDICT_CoV-24,2011,9,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Coronavirus PREDICT CoV-24,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,2042551,Pisoniviricetes,58060,TRUE,Cynopterus brachyotis,Cynopterus,Pteropodidae,Chiroptera,Mammalia
Cynopterus sphinx,KX285737,FALSE,PREDICT_CoV-24,2011,9,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Coronavirus PREDICT CoV-24,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,2042551,Pisoniviricetes,9400,TRUE,Cynopterus sphinx,Cynopterus,Pteropodidae,Chiroptera,Mammalia
Rousettus aegyptiacus,NA,FALSE,strain of Bat coronavirus HKU9,2017,8,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,694006,Pisoniviricetes,9407,TRUE,Rousettus aegyptiacus,Rousettus,Pteropodidae,Chiroptera,Mammalia
Rhinopoma hardwickii,NA,TRUE,strain of Bat coronavirus HKU9,2017,8,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,694006,Pisoniviricetes,124756,TRUE,Rhinopoma hardwickii,Rhinopoma,Rhinopomatidae,Chiroptera,Mammalia
Rousettus sp.,KX284907,FALSE,strain of Bat coronavirus HKU9,2011,2,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,694006,Pisoniviricetes,9406,TRUE,NA,Rousettus,Pteropodidae,Chiroptera,Mammalia
Eonycteris spelaea,KX284932,FALSE,strain of Bat coronavirus HKU9,2012,2,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,694006,Pisoniviricetes,58065,TRUE,Eonycteris spelaea,Eonycteris,Pteropodidae,Chiroptera,Mammalia
Rousettus sp.,KX284933,FALSE,strain of Bat coronavirus HKU9,2012,2,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,694006,Pisoniviricetes,9406,TRUE,NA,Rousettus,Pteropodidae,Chiroptera,Mammalia
Rousettus sp.,KX284935,FALSE,strain of Bat coronavirus HKU9,2012,2,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,694006,Pisoniviricetes,9406,TRUE,NA,Rousettus,Pteropodidae,Chiroptera,Mammalia
Rousettus sp.,KX284938,FALSE,strain of Bat coronavirus HKU9,2012,2,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,694006,Pisoniviricetes,9406,TRUE,NA,Rousettus,Pteropodidae,Chiroptera,Mammalia
Rousettus sp.,KX285065,FALSE,strain of Bat coronavirus HKU9,2012,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,694006,Pisoniviricetes,9406,TRUE,NA,Rousettus,Pteropodidae,Chiroptera,Mammalia
Rousettus sp.,KX285066,FALSE,strain of Bat coronavirus HKU9,2012,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,694006,Pisoniviricetes,9406,TRUE,NA,Rousettus,Pteropodidae,Chiroptera,Mammalia
Rousettus sp.,KX286293,FALSE,strain of Bat coronavirus HKU9,2012,6,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,Nidovirales,TRUE,694006,Pisoniviricetes,9406,TRUE,NA,Rousettus,Pteropodidae,Chiroptera,Mammalia
Miniopterus schreibersii,KX285436,FALSE,strain of Bat Coronavirus 1,2008,5,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,9433,TRUE,Miniopterus schreibersii,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Hipposideros lekaguli,KX285438,FALSE,strain of Bat Coronavirus 1,2012,5,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,1207989,TRUE,Hipposideros lekaguli,Hipposideros,Hipposideridae,Chiroptera,Mammalia
Miniopterus magnater,NA,FALSE,strain of Bat Coronavirus 1,2013,11,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,438766,TRUE,Miniopterus magnater,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Miniopterus magnater,KX285444,FALSE,strain of Bat Coronavirus 1,2013,11,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,438766,TRUE,Miniopterus magnater,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Miniopterus magnater,KX285445,FALSE,strain of Bat Coronavirus 1,2013,11,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,438766,TRUE,Miniopterus magnater,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Miniopterus magnater,KX285446,FALSE,strain of Bat Coronavirus 1,2013,11,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,438766,TRUE,Miniopterus magnater,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Miniopterus magnater,KX285447,FALSE,strain of Bat Coronavirus 1,2013,11,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,438766,TRUE,Miniopterus magnater,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Miniopterus magnater,KX285448,FALSE,strain of Bat Coronavirus 1,2013,11,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,438766,TRUE,Miniopterus magnater,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Miniopterus magnater,KX285449,FALSE,strain of Bat Coronavirus 1,2013,11,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,438766,TRUE,Miniopterus magnater,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
Miniopterus magnater,KX285450,FALSE,strain of Bat Coronavirus 1,2013,11,1,2021,3,9,PREDICT,March92021FlatFile,PCR/Sequencing,Bat coronavirus 1,Alphacoronavirus,Coronaviridae,Nidovirales,TRUE,2042696,Pisoniviricetes,438766,TRUE,Miniopterus magnater,Miniopterus,Vespertilionidae,Chiroptera,Mammalia
