VirusTaxID,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusNCBIResolved,ICTVRatified
,,,,,,,FALSE
,,,,,,FALSE,FALSE
2169685,aalivirus apekidu,aalivirus,picornaviridae,picornavirales,pisoniviricetes,TRUE,TRUE
2951534,abudefduf bengalensis circovirus,circovirus,circoviridae,cirlivirales,arfiviricetes,TRUE,FALSE
2563836,academ virus,orthohantavirus,hantaviridae,bunyavirales,ellioviricetes,TRUE,FALSE
2916821,acanthemblemaria sp. coronavirus,,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
670523,acanthurus bariene nervous necrosis virus,betanodavirus,nodaviridae,nodamuvirales,magsaviricetes,TRUE,FALSE
670555,acanthurus dussumieri iridovirus,,iridoviridae,pimascovirales,megaviricetes,TRUE,FALSE
2794564,accipiter gentilis parvo-like hybrid virus,,parvoviridae,piccovirales,quintoviricetes,TRUE,FALSE
2794463,accipiter gentilis parvoviridae sp.,,parvoviridae,piccovirales,quintoviricetes,TRUE,FALSE
2791004,achimota pararubulavirus 3,pararubulavirus,paramyxoviridae,mononegavirales,monjiviricetes,TRUE,FALSE
2358483,acinonyx jubatus papillomavirus type 1,,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,FALSE
3078846,acipenser herpesvirus 2,,,herpesvirales,herviviricetes,TRUE,FALSE
3078847,acipenser herpesvirus 3,,,herpesvirales,herviviricetes,TRUE,FALSE
320883,acipenserid herpesvirus 1,,alloherpesviridae,herpesvirales,herviviricetes,TRUE,FALSE
670556,acropoma japonicum iridovirus,,iridoviridae,pimascovirales,megaviricetes,TRUE,FALSE
670524,acropoma japonicum nervous necrosis virus,betanodavirus,nodaviridae,nodamuvirales,magsaviricetes,TRUE,FALSE
3051403,actinovirus bernense,actinovirus,hantaviridae,bunyavirales,ellioviricetes,TRUE,TRUE
3051404,actinovirus halieutaeae,actinovirus,hantaviridae,bunyavirales,ellioviricetes,TRUE,TRUE
3051406,actinovirus triacanthodis,actinovirus,hantaviridae,bunyavirales,ellioviricetes,TRUE,TRUE
340187,acyrthosiphon pisum virus,,,,,TRUE,FALSE
3115872,adabscovirus betta1,,,,,TRUE,FALSE
272636,adeno-associated virus,dependoparvovirus,parvoviridae,piccovirales,quintoviricetes,TRUE,FALSE
2558248,adenoviridae sp.,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
3115873,adenovirus acanthiza15342,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
3115874,adenovirus bat33390,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
3115875,adenovirus capreolus32301,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
3115876,adenovirus desmodus35011,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
3115878,adenovirus homo5,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
3115879,adenovirus macaca35148,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
3115880,adenovirus myodes38640,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
3115881,adenovirus ornithorhynchus4936,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
3115882,adenovirus papio32916,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710946,adenovirus predict_adv-13,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710947,adenovirus predict_adv-14,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710948,adenovirus predict_adv-15,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710949,adenovirus predict_adv-16,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710950,adenovirus predict_adv-17,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710951,adenovirus predict_adv-18,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710952,adenovirus predict_adv-19,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710953,adenovirus predict_adv-2,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
