Host,HostTaxID,HostNCBIResolved,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,HostSynonyms
abramis brama,38527,TRUE,abramis,leuciscidae,cypriniformes,actinopteri,Abramis brama,"NA"
abramis brama,38527,TRUE,abramis,leuciscidae,cypriniformes,actinopterygii,Abramis brama,"Cyprinus brama, Abramidopsis leuckartii, Abramis leuckartii"
abrothrix longipilis,29094,TRUE,abrothrix,cricetidae,rodentia,mammalia,Abrothrix longipilis,"NA"
abrothrix longipilis,NA,TRUE,abrothrix,cricetidae,rodentia,mammalia,Abrothrix longipilis,"Akodon longipilis, Acodon hirtus, Akodon longipilis apta, Akodon longipilis castaneus"
abrothrix olivaceus,29098,TRUE,abrothrix,cricetidae,rodentia,mammalia,Abrothrix olivaceus,"NA"
abrothrix olivaceus,NA,TRUE,abrothrix,cricetidae,rodentia,mammalia,Abrothrix olivaceus,"Akodon mansoensis, Akodon olivaceus, Akodon xanthorhinus"
abrothrix sanborni,682468,TRUE,abrothrix,cricetidae,rodentia,mammalia,Abrothrix sanborni,"NA"
abrothrix sanborni,NA,TRUE,abrothrix,cricetidae,rodentia,mammalia,Abrothrix sanborni,Akodon sanborni
acanthemblemaria crockeri,57777,TRUE,acanthemblemaria,chaenopsidae,blenniiformes,actinopteri,Acanthemblemaria crockeri,"NA"
acanthemblemaria crockeri,57777,TRUE,acanthemblemaria,chaenopsidae,blenniiformes,actinopterygii,Acanthemblemaria crockeri,"NA"
acanthis flammea,54769,TRUE,acanthis,fringillidae,passeriformes,aves,Acanthis flammea,"Carduelis flammea, NA"
acanthogobius flavimanus,86203,TRUE,acanthogobius,gobiidae,gobiiformes,actinopteri,Acanthogobius flavimanus,"NA"
acanthopagrus latus,8177,TRUE,acanthopagrus,sparidae,spariformes,actinopteri,Acanthopagrus latus,"NA"
acanthopagrus latus,8177,TRUE,acanthopagrus,sparidae,spariformes,actinopterygii,Acanthopagrus latus,"NA"
acanthopagrus schlegelii,72011,TRUE,acanthopagrus,sparidae,spariformes,actinopteri,Acanthopagrus schlegelii,"NA"
acanthopagrus schlegelii,72011,TRUE,acanthopagrus,sparidae,spariformes,actinopterygii,Acanthopagrus schlegelii,Mylio macrocephalus
acanthophis antarcticus,8605,TRUE,acanthophis,elapidae,squamata,lepidosauria,Acanthophis antarcticus,"NA"
acanthorhynchus tenuirostris,266336,TRUE,acanthorhynchus,meliphagidae,passeriformes,aves,Acanthorhynchus tenuirostris,"NA"
acanthurus bariene,670521,TRUE,acanthurus,acanthuridae,acanthuriformes,actinopteri,Acanthurus bariene,"NA"
acanthurus dussumieri,238051,TRUE,acanthurus,acanthuridae,acanthuriformes,actinopteri,Acanthurus dussumieri,"NA"
acanthurus triostegus,175435,TRUE,acanthurus,acanthuridae,acanthuriformes,actinopteri,Acanthurus triostegus,"NA"
accipiter cooperii,261198,TRUE,accipiter,accipitridae,accipitriformes,aves,Accipiter cooperii,"NA"
accipiter gentilis,8957,TRUE,accipiter,accipitridae,accipitriformes,aves,Accipiter gentilis,"NA"
accipiter gentilis,258924,TRUE,accipiter,accipitridae,accipitriformes,aves,Accipiter gentilis schvedowi,"NA"
accipiter gularis,258530,TRUE,accipiter,accipitridae,accipitriformes,aves,Accipiter gularis,"NA"
accipiter nisus,211598,TRUE,accipiter,accipitridae,accipitriformes,aves,Accipiter nisus,"NA"
accipiter striatus,56330,TRUE,accipiter,accipitridae,accipitriformes,aves,Accipiter striatus,"NA"
accipiter trivirgatus,210844,TRUE,accipiter,accipitridae,accipitriformes,aves,Accipiter trivirgatus,"NA"
acerodon celebensis,58057,TRUE,acerodon,pteropodidae,chiroptera,mammalia,Acerodon celebensis,"NA"
acheilognathus macropterus,80791,TRUE,acheilognathus,acheilognathidae,cypriniformes,actinopteri,Acheilognathus macropterus,"NA"
acinonyx jubatus,32536,TRUE,acinonyx,felidae,carnivora,mammalia,Acinonyx jubatus,"NA"
