VirusTaxID,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusNCBIResolved,ICTVRatified
2169685,aalivirus a,aalivirus,picornaviridae,picornavirales,pisoniviricetes,TRUE,TRUE
2734574,abatino macacapox virus,orthopoxvirus,poxviridae,chitovirales,pokkesviricetes,TRUE,TRUE
11788,abelson murine leukemia virus,gammaretrovirus,retroviridae,ortervirales,revtraviricetes,TRUE,FALSE
2563836,academ virus,orthohantavirus,hantaviridae,bunyavirales,ellioviricetes,TRUE,FALSE
670523,acanthurus bariene nervous necrosis virus,betanodavirus,nodaviridae,nodamuvirales,magsaviricetes,TRUE,FALSE
670555,acanthurus dussumieri iridovirus,NA,iridoviridae,pimascovirales,megaviricetes,TRUE,FALSE
2170053,acara orthobunyavirus,orthobunyavirus,peribunyaviridae,bunyavirales,ellioviricetes,TRUE,TRUE
1891717,acerodon celebensis polyomavirus 1,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
1891757,acerodon celebensis polyomavirus 2,betapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
2560259,achimota pararubulavirus 1,pararubulavirus,paramyxoviridae,mononegavirales,monjiviricetes,TRUE,TRUE
2560260,achimota pararubulavirus 2,pararubulavirus,paramyxoviridae,mononegavirales,monjiviricetes,TRUE,TRUE
2791004,achimota pararubulavirus 3,pararubulavirus,paramyxoviridae,mononegavirales,monjiviricetes,TRUE,FALSE
2358483,acinonyx jubatus papillomavirus type 1,NA,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,FALSE
1851774,acipenser iridovirus-european,NA,iridoviridae,pimascovirales,megaviricetes,TRUE,FALSE
320883,acipenserid herpesvirus 1,NA,alloherpesviridae,herpesvirales,herviviricetes,TRUE,FALSE
320884,acipenserid herpesvirus 2,ictalurivirus,alloherpesviridae,herpesvirales,herviviricetes,TRUE,TRUE
1032406,"acomys herpesvirus svms 226,222",NA,herpesviridae,herpesvirales,herviviricetes,TRUE,FALSE
670556,acropoma japonicum iridovirus,NA,iridoviridae,pimascovirales,megaviricetes,TRUE,FALSE
670524,acropoma japonicum nervous necrosis virus,betanodavirus,nodaviridae,nodamuvirales,magsaviricetes,TRUE,FALSE
2734433,adana phlebovirus,phlebovirus,phenuiviridae,bunyavirales,ellioviricetes,TRUE,TRUE
1972589,adelaide river ephemerovirus,ephemerovirus,rhabdoviridae,mononegavirales,monjiviricetes,TRUE,TRUE
1511891,adeno-associated dependoparvovirus a,dependoparvovirus,parvoviridae,piccovirales,quintoviricetes,TRUE,TRUE
