taxid,rank,name,id
2699200,class,Aves,8782
2699200,infraclass,Neognathae,8825
2699200,order,Passeriformes,9126
2699200,family,Ptilonorhynchidae,9164
2699200,genus,Amblyornis,9165
2699200,species,Amblyornis inornata,2699200
56435,class,Aves,8782
56435,infraclass,Neognathae,8825
56435,order,Passeriformes,9126
56435,superfamily,Sylvioidea,2116661
56435,family,Phylloscopidae,1607688
56435,genus,Phylloscopus,9181
56435,species,Phylloscopus proregulus,56435
29094,class,Mammalia,40674
29094,clade,Theria,32525
29094,clade,Eutheria,9347
29094,clade,Boreoeutheria,1437010
29094,superorder,Euarchontoglires,314146
29094,clade,Glires,314147
29094,order,Rodentia,9989
29094,suborder,Myomorpha,1963758
29094,clade,Muroidea,337687
29094,family,Cricetidae,337677
29094,subfamily,Sigmodontinae,40141
29094,genus,Abrothrix,156196
29094,species,Abrothrix longipilis,29094
29098,class,Mammalia,40674
29098,clade,Theria,32525
29098,clade,Eutheria,9347
29098,clade,Boreoeutheria,1437010
29098,superorder,Euarchontoglires,314146
29098,clade,Glires,314147
29098,order,Rodentia,9989
29098,suborder,Myomorpha,1963758
29098,clade,Muroidea,337687
29098,family,Cricetidae,337677
29098,subfamily,Sigmodontinae,40141
29098,genus,Abrothrix,156196
29098,species,Abrothrix olivaceus,29098
682468,class,Mammalia,40674
682468,clade,Theria,32525
682468,clade,Eutheria,9347
682468,clade,Boreoeutheria,1437010
682468,superorder,Euarchontoglires,314146
682468,clade,Glires,314147
682468,order,Rodentia,9989
682468,suborder,Myomorpha,1963758
682468,clade,Muroidea,337687
682468,family,Cricetidae,337677
682468,subfamily,Sigmodontinae,40141
682468,genus,Abrothrix,156196
682468,species,Abrothrix sanborni,682468
54769,class,Aves,8782
54769,infraclass,Neognathae,8825
54769,order,Passeriformes,9126
54769,superfamily,Passeroidea,175121
54769,family,Fringillidae,9133
54769,subfamily,Carduelinae,37599
54769,genus,Acanthis,37604
54769,species,Acanthis flammea,54769
8605,class,Lepidosauria,8504
8605,order,Squamata,8509
8605,clade,Bifurcata,1329961
8605,clade,Unidentata,1329950
8605,clade,Episquamata,1329912
8605,clade,Toxicofera,1329911
8605,infraorder,Serpentes,8570
8605,superfamily,Colubroidea,34989
8605,family,Elapidae,8602
8605,subfamily,Acanthophiinae,42167
8605,genus,Acanthophis,8604
8605,species,Acanthophis antarcticus,8605
266336,class,Aves,8782
266336,infraclass,Neognathae,8825
266336,order,Passeriformes,9126
266336,superfamily,Meliphagoidea,1931080
266336,family,Meliphagidae,9146
266336,genus,Acanthorhynchus,266334
266336,species,Acanthorhynchus tenuirostris,266336
261198,class,Aves,8782
261198,infraclass,Neognathae,8825
261198,order,Accipitriformes,2558200
261198,family,Accipitridae,56259
261198,subfamily,Accipitrinae,8955
261198,genus,Accipiter,8956
261198,species,Accipiter cooperii,261198
1458045,class,Aves,8782
1458045,infraclass,Neognathae,8825
1458045,order,Accipitriformes,2558200
1458045,family,Accipitridae,56259
