tax_id,name
1092587,mammal environmental sample
9258,Ornithorhynchus anatinus
1684342,Zaglossus bartoni
9261,Tachyglossus aculeatus
33543,Zaglossus bruijni
1684341,Zaglossus attenboroughi
122272,Petaurus norfolcensis
175809,Phalanger vestitus
196387,Notamacropus irma
90764,Sminthopsis longicaudata
90761,Sminthopsis leucopus
175811,Trichosurus arnhemensis
65634,Lagostrophus fasciatus
54085,Petrogale lateralis
37699,Notoryctes typhlops
32560,Sminthopsis murina
9280,Dasyurus hallucatus
65621,Bettongia lesueur
9344,Perameles nasuta
656515,Pseudocheirus occidentalis
65624,Lagorchestes conspicillatus
9314,Osphranter antilopinus
273761,Phascolosorex doriae
9281,Dasyurus maculatus
596261,Pseudochirulus mayeri
38602,Cercartetus caudatus
30667,Lasiorhinus krefftii
9319,Osphranter robustus
175627,Petrogale purpureicollis
38616,Dactylopsila trivirgata
190652,Cercartetus lepidus
65631,Hypsiprymnodon moschatus
128432,Trichosurus caninus
42733,Echymipera kalubu
37698,Isoodon macrourus
9275,Thylacinus cynocephalus
9279,Dasyurus viverrinus
37702,Pseudochirops cupreus
710129,Thylogale browni
2550886,Antechinus vandycki
32556,Planigale gilesi
90767,Sminthopsis virginiae
65616,Pseudochirulus forbesi
9333,Pseudocheirus peregrinus
9310,Potorous tridactylus
38623,Phalanger carmelitae
926687,Thylogale calabyi
92651,Macrotis lagotis
38776,Phascogale calura
75755,Sminthopsis gilberti
69270,Dorcopsulus vanheurni
473861,Caenolestes caniventer
33562,Dromiciops gliroides
90765,Sminthopsis ooldea
65629,Pseudochirops corinnae
9283,Antechinus stuartii
1031279,Peroryctes broadbenti
32558,Pseudantechinus ningbing
282342,Petaurus australis
173936,Potorous gilbertii
75753,Sminthopsis aitkeni
60702,Ningaui timealeyi
29139,Vombatus ursinus
9315,Notamacropus eugenii
2219193,Dendrolagus mbaiso
479706,Pseudantechinus mimulus
114229,Spilocuscus rufoniger
54080,Petrogale burbidgei
38774,Antechinus naso
479705,Pseudantechinus bilarni
90760,Sminthopsis hirtipes
1981332,Dasycercus blythi
413582,Notamacropus parma
38604,Dendrolagus inustus
1648445,Petrogale wilkinsi
32559,Pseudantechinus woolleyae
65607,Dactylopsila palpator
342585,Hyladelphys kalinowskii
1408244,Caenolestes convelatus
32554,Ningaui yvonnae
32546,Dasyurus spartacus
596258,Petropseudes dahli
596256,Hemibelideus lemuroides
38632,Tarsipes rostratus
223567,Caloprymnus campestris
2219194,Dendrolagus ursinus
859894,Petrogale concinna
418659,Murexia naso
9301,Sminthopsis crassicaudata
32549,Myoictis melas
34899,Petaurus breviceps
30668,Lasiorhinus latifrons
41893,Petrogale assimilis
418663,Murexia melanurus
90759,Sminthopsis granulipes
596260,Pseudochirulus herbertensis
122273,Petaurus gracilis
30670,Setonix brachyurus
9317,Macropus giganteus
65613,Microperoryctes papuensis
223847,Dendrolagus spadix
9323,Osphranter bernardus
2550884,Antechinus mysticus
38775,Antechinus flavipes
32544,Dasyuroides byrnei
146632,Petauroides volans
9330,Wallabia bicolor
9291,Parantechinus apicalis
90756,Sminthopsis archeri
90770,Sminthopsis youngsoni
32542,Dasycercus cristicauda
69259,Bettongia penicillata
54079,Petrogale brachyotis
65618,Thylogale brunii
55782,Myrmecobius fasciatus
2550885,Antechinus subtropicus
9297,Planigale maculata
38614,Distoechurus pennatus
293818,Strigocuscus celebensis
65632,Lagorchestes hirsutus
745249,Chlorotalpa sclateri
71384,Antechinus bellus
55310,Potorous longipes
69260,Dendrolagus goodfellowi
9325,Petrogale xanthopus
9305,Sarcophilus harrisii
32545,Dasyurus albopunctatus
9337,Trichosurus vulpecula
165202,Dendrolagus matschiei
33560,Dasykaluta rosamondae
661127,Petaurus abidi
596271,Strigocuscus pelengensis
65610,Echymipera clara
63143,Dasyurus geoffroii
38598,Aepyprymnus rufescens
1960652,Notamacropus rufogriseus
65614,Petrogale persephone
71386,Antechinus minimus
9302,Sminthopsis macroura
9299,Pseudantechinus macdonnellensis
9327,Thylogale billardierii
65612,Isoodon obesulus
418664,Murexia habbema
699039,Pseudochirulus canescens
38618,Gymnobelideus leadbeateri
54082,Petrogale godmani
120734,Isoodon auratus
37696,Caenolestes fuliginosus
90758,Sminthopsis douglasi
